Name,YearsAtCompany,PerformanceScore
"Allison Hill",29,47
"Angie Henderson",27,9
"Gabrielle Davis",14,15
"Holly Wood",13,24
"Lisa Jackson",23,49
"Carla Gray",27,18
"Margaret Hawkins DDS",22,7
"Rebecca Henderson",22,29
"James Ferrell",17,23
"Tricia Valencia",23,14
"Jeffrey Chavez",17,33
"Cassandra Gaines",20,21
"Brittany Farmer",24,23
"Anthony Humphrey",22,14
"Philip Cannon",13,20
"Shane Henderson",27,19
"Crystal Robinson",21,23
"Shannon Jones",29,33
"Brent Jordan",23,32
"Connor West",17,19
"Tracy House",19,34
"James Brown",21,25
"Amy Silva",13,11
"Angela Lopez",13,16
"Mike Allen",18,7
"Michael Evans",24,16
"Zachary Ferrell",26,16
"Christopher Bass",29,35
"Brian Rodriguez",23,17
"Jessica Smith",15,25
"Richard Henson",11,38
"Marc Moore",11,3
"Garrett Lin",25,47
"Erin Edwards",26,29
"Megan Orr",20,36
"Rebecca Jackson",14,25
"Robert Potter",23,32
"David Douglas Jr.",20,9
"Stephanie Manning",13,30
"Brenda Hall",22,11
"Joshua Perry",16,49
"Jamie Smith",27,19
"Jennifer Adkins",26,15
"Jeffrey Johnson",13,43
"Michael Powell",29,37
"Alyssa Long",19,29
"Alyssa Day",18,26
"Joel Williams",28,2
"Nicole Herring",29,38
"Robert Oconnell",23,28
"Tina Sanders",17,8
"Angela Vaughn",23,29
"Ashley Barton",19,11
"Lindsay Martinez",11,18
"Samantha Garcia",22,14
"Debra Christian",26,11
"Spencer Haynes",21,39
"Melissa Brewer",19,28
"Joseph Coleman",14,25
"Erin Warner",24,21
"David Martinez",16,10
"Bryan Herrera",12,43
"Brian Lee",26,48
"Denise Mccann",19,21
"Anthony Everett",25,23
"Rodney Morales",20,13
"Justin Torres",29,4
"Theresa Clark",25,35
"Matthew Moore",12,21
"Laura Roberts",14,6
"David Davis",18,12
"Andrew Avila",20,2
"Matthew Moon",16,15
"Kevin Walters",15,23
"Brandon Bailey MD",16,29
"Krista Gibson",23,7
"Jose Travis",28,28
"Kimberly Gutierrez",29,14
"Isaiah Avila",25,44
"Barbara Dudley",18,32
"Susan Murray MD",19,6
"Kathleen Moran",25,27
"Katie Suarez",23,24
"Desiree Tyler",22,34
"Timothy Romero",29,40
"Diane Evans",22,47
"Jasmin Alvarado",23,44
"Matthew Moore",14,23
"Marie Christian",13,34
"Shannon James",13,11
"Jeremy Reed",19,4
"Ryan Gonzalez",22,5
"Laura Haney",29,49
"Heather Fields",29,47
"Megan Le",28,26
"Carlos Ryan",27,40
"Richard Smith",23,4
"Lauren Carson",12,25
"Ashley Hall",23,7
"Natalie Bautista",13,11
"Colton Martinez",18,34
"Jordan Bates",12,19
"Andrea Hubbard",26,48
"Scott Thomas",17,48
"David Thompson",19,45
"Allison Smith",28,25
"Nichole Alvarez",25,19
"Kayla Rodriguez",24,39
"Victor Brown",28,27
"Kimberly Nguyen",29,19
"Kerry Chavez DDS",11,28
"Jesse Perez",17,33
"Parker Cain",22,3
"Nicole Parrish",12,48
"Holly Farmer",12,6
"Renee Bruce",25,40
"Debra White",16,2
"Sergio Knight",18,2
"Douglas Gregory",22,6
"Mr. Andrew Foster",17,19
"James Padilla",26,33
"Sandra Drake",13,40
"Brian Smith",24,8
"Tamara Davis",13,42
"Jennifer Collins",22,9
"Ashley Hicks",18,35
"Jesse Brown",19,24
"Erica Alvarez",16,48
"Antonio Garcia",23,8
"Gwendolyn Klein",13,39
"Jake Campbell",11,46
"George Harper",11,38
"Maria Jones",23,8
"Mary Escobar",16,37
"Jenna Larson",24,40
"Emily Bennett",12,34
"Maria Henderson",28,17
"Jack White",12,33
"Tracy Montoya",17,10
"Shelly Spencer",15,13
"Phillip Nelson",29,20
"Courtney Hayes",16,46
"Alexander Brown",20,8
"Cynthia Vang",22,10
"Dustin Gallegos",20,11
"Ruben Dunn",26,25
"Kelsey Rodriguez",11,49
"Eric Williams",26,49
"Taylor Carlson",24,11
"Jason Beck",13,39
"Richard Cooper",11,1
"Evelyn Williams",15,4
"Julie Dominguez",16,12
"Robin Brown",16,35
"Kaylee Hays",27,31
"Jasmine Beltran",22,7
"Mark Cox",21,12
"Meghan Cisneros",20,7
"Mr. Justin Green III",13,36
"Jodi Roach",19,44
"Brandon Fleming",29,17
"Emma Reed",24,2
"Joshua Vance",16,13
"Michelle Ho",25,31
"Curtis Taylor",23,28
"Robert Arnold",15,27
"Angelica Parker",16,15
"Penny Bowman",11,20
"Amy Martinez",15,12
"Michelle Jacobs",26,25
"Marilyn Wang",11,31
"Donna Frye",20,5
"Emma Owens",20,47
"James Gilbert",19,38
"Cindy Gomez",18,37
"Julie Herrera",21,8
"Angel Gordon",20,33
"Nicole Gonzalez",23,27
"Kathryn Williams",13,8
"Gary Wells",28,23
"Robert Richardson",23,17
"Molly Watts",13,19
"John Coffey",29,8
"Paula Lane",29,38
"Christian Vaughn",23,31
"Reginald Knapp",16,44
"Melissa Bishop",17,39
"David Grant",17,42
"William Evans",24,48
"Daniel Bush",12,12
"Jamie Baird",14,18
"Jeremy Scott",19,6
"Dale Ryan",29,43
"Sherry Woods",15,16
"Victor Morris",24,8
"Tammy Mcdowell",28,10
"Rachel Bradley",29,5
"Casey Chase",24,23
"Samantha Robertson",20,9
"Bryan Parker",23,46
"Jonathan Jacobson",29,22
"Elizabeth Mendez",26,8
"Casey Hernandez",19,20
"Colleen Wright",27,39
"Shelley Miller",19,37
"Joseph Wilson",26,33
"Kevin Davis",11,31
"Joyce Brown",29,44
"Robert Cummings",17,34
"Zachary Michael",21,23
"Maria Fisher",13,7
"Joshua Rice",29,38
"Edwin Nunez",27,34
"Kim Morrow",27,44
"Molly Rodriguez",20,17
"Alexis Harris",13,10
"David Robinson",29,18
"Amy Gordon",22,45
"Travis Hobbs",21,49
"James Webster",18,10
"Tammy Boone",16,34
"Nathaniel Lee",19,17
"Felicia Krueger",18,40
"Timothy Hayden",20,19
"William Harrison",17,47
"Suzanne Wood",26,6
"Justin Walker",24,16
"Jennifer Hernandez",23,18
"Mr. Michael Scott PhD",20,48
"Maria Henry",16,43
"Robert Jackson",20,39
"Katherine Stark",13,49
"Ryan Landry",24,10
"Jonathan Brooks",25,1
"Mary Jensen",14,49
"Joseph Hill",17,21
"Alicia Li",13,37
"Joseph Ochoa",12,25
"James Watson",22,7
"Joseph Williams",12,24
"Sean Clay",21,11
"Timothy Edwards",23,35
"Kathryn Mccann",20,23
"Randy Friedman",14,39
"Mary Miller",29,12
"Rebecca Marquez",29,34
"Alexander Gomez",18,13
"Kyle Nguyen",19,31
"Steven Stein",25,15
"Arthur Hamilton MD",21,34
"Eric Rush",18,29
"George Ochoa",15,16
"Vincent Novak",27,37
"Jenna Wilson",17,44
"Michael Gonzales",18,8
"Dana Hopkins",19,41
"Jessica Smith",27,29
"Laura Griffin",25,19
"Jesse Clark",13,37
"Samuel Wong",19,30
"Kevin Price",22,6
"Christine Goodwin",28,18
"Katherine Taylor",27,31
"Adam Taylor",17,17
"Bradley Johnson DDS",20,36
"Donald Medina",26,26
"Robert Gonzales",29,4
"Patricia Young PhD",23,36
"Carol Taylor",22,21
"Michael Roberts",28,26
"Michael Poole",29,14
"Mark Beard",27,21
"Jose Ramirez",17,46
"Jackie Clements",28,16
"Derrick Clayton",16,8
"Mr. Michael Williams",16,3
"Michele Smith",22,22
"Casey Perez",13,46
"Virginia Henderson",20,13
"Benjamin Reyes",29,33
"Joseph Smith",24,27
"Nicole Phillips",26,12
"Steven Blevins",26,28
"Brian Porter MD",12,44
"Bonnie Valencia",25,43
"Tiffany Townsend",11,40
"Michelle Jackson",16,43
"Richard Adams",22,23
"Patricia Johnson",11,27
"Laura Jones",17,37
"Ian Porter",14,6
"Ryan Murphy",16,48
"Danielle Smith",11,46
"Ashley Moreno",25,38
"Johnathan Brown",13,11
"Michelle Davis DVM",27,12
"Kelly Haynes",26,42
"William Miller",25,39
"Cynthia Green",19,36
"Dale Chan",12,33
"Russell Murphy",22,24
"Megan Green",27,31
"Danielle Murray",29,10
"Vickie Anderson",29,2
"Jacqueline Mccoy",22,15
"Lauren Green",27,3
"Jill Anderson",16,31
"Amy Ramirez",17,10
"Lydia Pham",26,47
"Francis Robinson",27,15
"Paula Brown",15,18
"Robert Stark",19,2
"Kristy Hart",16,38
"Eric Henry Jr.",19,42
"Daniel Fox",20,5
"Tom Foster",11,2
"Travis Conner",16,20
"Courtney Chapman",19,21
"Jenna Gamble",17,12
"Tracy Walker",17,20
"Stephen Davis",22,30
"Derek Wright",19,24
"James Oconnor",29,36
"Karen Johnson",23,24
"Brian Harris",28,24
"Matthew Davis MD",24,35
"Stephen Wood",25,43
"Dennis Marshall",15,29
"Derrick Brown",23,37
"Jennifer Nichols",29,39
"Karen Keith",21,42
"Kathryn Lester",24,29
"Megan Oliver",12,43
"Dr. Rhonda Martinez",24,10
"Lori Flowers MD",17,14
"James Nguyen",29,47
"Jimmy Marks",26,42
"Olivia Ayers",28,32
"Joseph Cooper",17,32
"James Washington",18,26
"Steve Rivera",26,2
"Alicia Roth",22,30
"Debra Butler",13,9
"Chelsea Lewis",29,22
"Natalie Malone",24,34
"Samantha Robertson",16,49
"Eric Hunter",11,1
"Kathy Reid",18,40
"James Martin",26,18
"Megan Adams",17,43
"Gregory King",20,7
"Sarah Brooks",16,16
"Arthur Mcneil",29,37
"Stephanie Evans",12,37
"Susan Powers",15,33
"Catherine Davis",21,30
"David Carter",22,24
"Kathryn Dillon",13,4
"Eugene Baldwin",26,18
"Katherine Gallagher",27,33
"Frank Whitaker",27,28
"Michael Cooper",20,10
"Rodney Evans",24,42
"Travis Hull",29,15
"Martha Smith",22,41
"Mary Nelson",18,23
"Breanna Rivas",18,25
"Brian Gonzalez",24,6
"Jon Clark",22,9
"Mary Jackson",23,41
"James Jefferson",18,14
"Mariah Robles",26,36
"Michael Brown",20,36
"James Howard",26,26
"Michael Roberson",16,36
"Sarah Booth",12,42
"John Allen",16,29
"Jennifer Young",19,10
"Matthew Garcia MD",12,1
"April Davis",20,39
"Glenn Gallegos",26,20
"Dorothy Boyd",14,10
"Levi Lopez",29,48
"Kyle Andrade",17,1
"Michelle Walls",24,23
"Miss Tina Gordon",16,13
"Erica Wilson",19,14
"Donna Boone",18,42
"Paul Johnson",29,31
"Cynthia Mueller",13,10
"Donna Beck",12,8
"Jasmine Frye",21,21
"Tracey Phillips",24,30
"Dawn Rivera",28,20
"Brittney Hernandez",12,48
"Heather Bowers",29,37
"Jonathan Perry",22,4
"Gary Ward",18,25
"Samantha Zavala MD",13,9
"Thomas Short",15,34
"Kimberly Smith",12,22
"Brittany Stevens",16,32
"Brandon Brown",19,16
"David Hughes",23,1
"Kimberly May",27,48
"Angel Reilly",26,13
"Richard Turner",13,15
"Matthew Wells",18,44
"Michael Sloan",28,46
"Aaron Carlson",23,38
"Theresa Torres",25,11
"Stephanie Cooper",27,43
"Matthew Hunt",26,20
"Daniel Davenport",12,20
"Christopher Marsh",27,21
"Kevin Cunningham",14,30
"David Walker",21,31
"Jessica Larsen",19,42
"Kimberly Lutz",15,19
"Travis Hopkins",18,30
"Nancy Webb",29,25
"Terry Ward",24,26
"Mrs. Michele Boyd",17,22
"Carrie Valdez",21,19
"Matthew Houston",25,31
"Jamie Solomon",26,26
"Heather Parrish",11,42
"Mr. Larry Shaw",16,41
"Christopher Jones",12,23
"Christine Lopez",13,47
"Mitchell Wilson",27,13
"Candace Soto",21,16
"Christopher Mullen",16,28
"Jerry Haney",12,41
"Grace Chavez",12,32
"Richard Gordon",20,41
"Andrew Moreno",12,40
"Kevin Figueroa",19,37
"Colin Fletcher",29,4
"Matthew Watts",27,10
"Jack Moore",25,47
"Jacob Hill",24,14
"Nicole Gutierrez",25,38
"Karen Wood",16,12
"Dawn Parker",20,45
"Michael Fitzgerald",16,17
"Miss Kelly Dawson",28,20
"Theresa Wilkins",17,14
"Jessica Harris",14,34
"Christopher Johnson",19,31
"Penny Gomez MD",29,42
"Suzanne Bailey",15,30
"Destiny Obrien",18,25
"Jason Rodriguez",18,19
"Laura Benson",11,8
"Tonya Ellis",24,3
"Kelli Smith",19,17
"Danielle Davis",18,14
"Samantha Jones",13,9
"Susan Porter",19,21
"Dale Wright",12,37
"Megan Alvarado",28,11
"Pamela Weaver",22,20
"John Oliver",12,35
"William Moon IV",13,47
"Jennifer Parks",19,8
"William Wolfe",14,4
"Kevin Nguyen",13,44
"John Austin",24,47
"Jacqueline Dickerson",19,44
"Joanna Cook",29,4
"Mariah Thompson",21,48
"Heather Nunez",22,26
"Mark Thomas",23,39
"Christopher Perez",26,19
"Kimberly Johnson",21,10
"Wayne Wolfe",19,15
"Kristy Mills",15,33
"Regina Ramos",23,24
"David Torres",27,30
"John Smith",26,13
"Jeffrey Carter",28,47
"Rhonda Gutierrez",20,3
"Catherine Roberts",14,12
"Chelsea Smith",26,16
"Glenn Collins DDS",26,49
"John Lee",19,49
"Jessica Rojas",13,30
"Emily Morris",13,15
"Stephen Boyer",21,23
"Richard Alvarez",24,45
"Corey Norris",20,46
"Mr. Edward Terry",15,44
"Denise Guerra",21,29
"Russell Anderson",14,22
"Christina Washington",14,20
"Jacob Obrien",14,25
"Eric Blackburn",24,5
"Jennifer Garcia",13,8
"Sonya Jackson",24,48
"Zachary Ramos",15,15
"Jacob Duran",26,22
"James Barber",16,36
"Desiree Spencer",13,10
"Morgan Cummings",14,27
"Laura Velez",21,5
"Matthew Guzman",16,15
"Jonathan Walker",23,30
"Kurt Wagner",12,37
"Dylan Foster",18,3
"James Miller",12,41
"Patricia Anderson",20,39
"Justin Freeman",13,26
