EmployeeID,Name,HireDate
EMP00001,"Allison Hill",1998-03-14
EMP00005,"Cristian Santos",1995-09-28
EMP00010,"Ryan Munoz",1995-07-25
EMP00013,"Lisa Hensley",1997-01-05
EMP00021,"Margaret Hawkins DDS",1997-01-11
EMP00023,"Ethan Adams",1996-08-09
EMP00026,"Judy Baker",1995-01-10
EMP00032,"James Ferrell",1999-12-29
EMP00033,"Tricia Valencia",1998-06-02
EMP00034,"Nathan Maldonado",1999-01-16
EMP00039,"Elizabeth Fowler",1996-12-27
EMP00043,"Sherry Decker",1999-01-26
EMP00064,"Donald Wright",1994-11-26
EMP00065,"Jessica Callahan",1999-07-04
EMP00067,"Tracy House",1996-10-28
EMP00081,"Kelly Donovan",1995-12-24
EMP00083,"Michael Evans",1997-10-01
EMP00112,"Shannon Walker",1997-11-25
EMP00115,"Garrett Lin",1996-02-19
EMP00124,"Michelle Harmon",1996-12-02
EMP00133,"Mary Marshall",1998-10-10
EMP00135,"Rebecca Jackson",1997-04-03
EMP00137,"Robert Potter",1998-03-25
EMP00148,"Stephanie Salazar",1996-03-02
EMP00150,"Stephanie Manning",1995-07-24
EMP00151,"David Wright",1997-02-20
EMP00164,"Jeffrey Johnson",1995-12-08
EMP00165,"Michael Powell",1995-01-06
EMP00167,"Alyssa Long",1998-07-21
EMP00169,"Joel Williams",1999-04-18
EMP00176,"Alex Hernandez",1996-12-21
EMP00177,"Michael Elliott",1997-06-16
EMP00183,"Angela Vaughn",1999-06-04
EMP00191,"Debra Morton",1995-04-07
EMP00193,"Debra Christian",1998-01-26
EMP00196,"Allen Rosales",1998-11-15
EMP00201,"Melissa Brewer",1997-04-16
EMP00204,"Joseph Coleman",1995-01-12
EMP00207,"Bryan Herrera",1999-11-15
EMP00213,"Melissa Martinez",1995-10-28
EMP00219,"Justin Torres",1996-04-10
EMP00228,"Michael Warner",1998-02-23
EMP00233,"Christopher Parker",1996-06-07
EMP00235,"Michael Lyons",1994-10-22
EMP00236,"Kathryn Snyder",1996-04-21
EMP00245,"Shannon Rivera",1997-10-04
EMP00246,"Donna Landry",1995-03-13
EMP00248,"Frank Cordova",1995-08-08
EMP00249,"Jose Travis",1995-02-22
EMP00255,"Cynthia Moore",1996-10-19
EMP00257,"Susan Murray MD",1997-12-08
EMP00265,"Yvonne Burns",1996-02-23
EMP00268,"Colin Terry",1998-04-25
EMP00280,"Nathan Malone",1998-10-05
EMP00283,"Jessica Garcia",1998-04-02
EMP00287,"Joseph Knight",1995-02-28
EMP00291,"David Smith",1995-01-21
EMP00296,"John Young",1996-11-23
EMP00303,"Megan Le",1996-02-23
EMP00304,"Sara Fuller",1996-12-09
EMP00311,"Dr. Paul Morgan",1998-02-11
EMP00319,"Stephen Hoffman",1997-11-15
EMP00328,"Trevor Johnson",1999-03-05
EMP00338,"Charles Lester",1996-12-12
EMP00340,"David Thompson",1995-04-02
EMP00352,"Kimberly Nguyen",1995-02-07
EMP00354,"Michael Farrell",1995-05-16
EMP00357,"Jesse Perry",1998-11-14
EMP00365,"Tracy Burke",1997-05-08
EMP00366,"Kenneth Lewis",1996-09-08
EMP00367,"Courtney Rodriguez",1999-05-01
EMP00372,"Debra White",1999-10-23
EMP00376,"Paul Lewis",1995-12-10
EMP00384,"Mr. Andrew Foster",1999-03-21
EMP00390,"Scott Williams",1995-12-31
EMP00398,"Gary Jackson",1995-06-16
EMP00407,"Lori Hernandez",1996-06-28
EMP00423,"Michael Mitchell",1994-11-09
EMP00424,"Mary Escobar",1996-11-06
EMP00427,"Jenna Larson",1997-01-11
EMP00429,"Robin Santiago",1996-06-03
EMP00431,"Maria Henderson",1999-06-19
EMP00433,"Travis Tucker",1998-12-03
EMP00434,"Chad Jones",1997-10-09
EMP00443,"Robert Harrison",1997-04-23
EMP00466,"Jeffrey Mendez",1997-05-16
EMP00479,"Curtis Williams",1999-12-15
EMP00483,"Evelyn Martinez",1995-04-29
EMP00488,"Samantha Gardner",1997-06-25
EMP00493,"William Gould",1999-11-06
EMP00507,"Brandon Fleming",1997-02-05
EMP00509,"Joshua Vance",1999-04-20
EMP00513,"Allison Spencer",1999-11-30
EMP00515,"Angelica Parker",1994-10-16
EMP00516,"Dr. Kelly Hammond DVM",1995-02-01
EMP00533,"Donna Frye",1997-01-27
EMP00535,"Anthony Gonzales",1995-12-21
EMP00536,"Mr. Lawrence Edwards",1998-11-19
EMP00555,"Robert Morgan",1996-08-12
EMP00563,"Robert Richardson",1995-10-28
EMP00569,"Lisa Randall",1995-08-12
EMP00573,"Reginald Knapp",1999-09-06
EMP00578,"Raymond Le",1999-08-31
EMP00586,"Tina Ballard",1995-01-26
EMP00587,"Dwayne Klein",1998-08-15
EMP00589,"Dale Ryan",1997-10-16
EMP00596,"Sherry Woods",1997-05-20
EMP00619,"Emily Wilson",1997-09-03
EMP00620,"Elizabeth Mendez",1998-05-15
EMP00627,"Amy Kelley",1999-07-04
EMP00635,"Amber Cooper",1994-11-13
EMP00639,"Maria Fisher",1994-09-14
EMP00640,"Janet Kane DVM",1997-12-11
EMP00641,"Michael Stanley",1997-01-09
EMP00656,"Kyle Chambers",1999-03-22
EMP00661,"William David DDS",1998-05-26
EMP00668,"Tammy Boone",1996-08-28
EMP00680,"William Harrison",1998-05-14
EMP00684,"Jennifer Hernandez",1997-05-13
EMP00686,"Mr. Michael Scott PhD",1997-07-26
EMP00688,"Robert Jackson",1998-11-22
EMP00690,"Maria Brown",1996-11-01
EMP00692,"Pamela Gutierrez",1995-08-29
EMP00699,"Renee Browning",1998-01-29
EMP00700,"Brent Hernandez",1994-12-22
EMP00701,"Joseph Ochoa",1996-09-22
EMP00704,"Michael Abbott",1994-11-23
EMP00708,"Mr. Richard Knight PhD",1996-01-28
EMP00709,"Joseph Williams",1997-12-11
EMP00713,"Timothy Edwards",1994-11-24
EMP00737,"Charles Turner",1996-08-06
EMP00742,"Manuel Brock",1998-01-21
EMP00743,"George Ochoa",1994-10-03
EMP00750,"Leslie Gardner",1999-05-17
EMP00751,"Krista Benton",1995-07-11
EMP00753,"Michael Fuentes",1998-10-31
EMP00772,"Mr. Jeffrey Horton",1994-10-03
EMP00776,"Christopher Moore",1995-03-20
EMP00780,"Kevin Price",1996-03-16
EMP00793,"Maria Cooke",1997-06-02
EMP00800,"Donald Medina",1998-01-25
EMP00807,"Zachary Cole",1999-07-10
EMP00816,"Anna Estes",1995-09-24
EMP00817,"Tamara Riddle",1999-01-01
EMP00820,"Megan Burns",1997-08-12
EMP00829,"Derrick Clayton",1998-08-02
EMP00840,"Michele Smith",1997-09-10
EMP00841,"Casey Perez",1998-03-28
EMP00844,"Benjamin Reyes",1995-08-24
EMP00856,"Melissa Abbott",1998-11-02
EMP00858,"Nicole Phillips",1999-04-09
EMP00863,"Holly Vega",1997-09-22
EMP00872,"Sandra Becker",1996-11-06
EMP00891,"Jennifer Morris",1998-08-02
EMP00893,"Jake Shaw",1997-08-19
EMP00894,"Cassie Brock",1998-06-10
EMP00895,"Dr. Andrea Marshall",1997-09-06
EMP00901,"Danielle Smith",1998-08-07
EMP00904,"Matthew Sweeney",1998-12-26
EMP00910,"Casey Wilkins",1994-09-15
EMP00912,"Cynthia Green",1996-10-03
EMP00925,"Danielle Murray",1998-12-12
EMP00931,"Jill Anderson",1998-04-11
EMP00933,"Joel Jackson",1994-12-18
EMP00938,"Edward Jenkins",1999-07-29
EMP00946,"Paula Brown",1999-09-01
EMP00949,"Robert Stark",1999-08-12
EMP00956,"William Keith",1995-10-26
EMP00962,"Sylvia Schroeder",1998-11-07
EMP00975,"Taylor Taylor",1996-08-25
EMP00978,"Margaret Tanner",1999-11-05
EMP00988,"Nicholas Payne",1996-06-09
EMP01001,"Matthew Davis MD",1995-05-21
EMP01012,"Megan Oliver",1997-02-03
EMP01023,"Kristine Garcia",1997-12-17
EMP01024,"Joseph Cooper",1999-02-07
EMP01031,"Douglas Vasquez",1996-06-28
EMP01039,"Samuel Suarez",1999-05-01
EMP01044,"Andre Watson",1999-07-30
EMP01052,"Alexa Buck",1994-12-17
EMP01057,"Michael Holloway",1998-02-12
EMP01061,"Arthur Mcneil",1999-09-03
EMP01067,"Yolanda Green",1996-07-26
EMP01068,"James Johnson",1997-12-01
EMP01072,"Sarah Pittman",1996-06-08
EMP01073,"Catherine Davis",1998-08-23
EMP01079,"Julie Delacruz",1999-09-15
EMP01084,"Keith Knox",1995-10-22
EMP01085,"Eugene Baldwin",1998-09-10
EMP01101,"Travis Hull",1997-09-12
EMP01113,"Nathan Wilson",1995-01-17
EMP01114,"Brian Gonzalez",1998-09-25
EMP01115,"Dennis Mills",1998-08-14
EMP01116,"Michael Phillips",1997-06-17
EMP01117,"Jon Clark",1998-10-20
EMP01123,"John Garcia",1995-06-08
EMP01131,"James Jefferson",1997-11-13
EMP01142,"Vanessa Santiago",1998-11-29
EMP01143,"Joseph Haynes",1998-01-12
EMP01145,"Michael Cruz",1996-10-23
EMP01154,"Matthew Garcia MD",1995-04-28
EMP01163,"Dorothy Boyd",1996-10-28
EMP01172,"Mr. Anthony Mcconnell PhD",1998-11-15
EMP01177,"Pamela Hill",1998-08-23
EMP01183,"Gregory Chambers",1994-10-31
EMP01188,"Donna Boone",1998-11-02
EMP01189,"Kelly Johnson",1995-12-25
EMP01190,"Michael Gonzalez",1999-01-12
EMP01195,"Sharon Newton",1997-08-21
EMP01200,"David Oliver",1995-11-04
EMP01201,"Sheila Greer",1997-07-12
EMP01202,"Michele Holland",1998-11-22
EMP01210,"Anthony Randolph",1994-08-27
EMP01213,"Daniel White",1996-03-21
EMP01220,"Lisa Haley",1999-05-30
EMP01232,"Brittany Stevens",1998-01-07
EMP01235,"David Hughes",1996-03-03
EMP01237,"Kimberly May",1995-11-25
EMP01239,"Angel Reilly",1999-06-21
EMP01244,"Kimberly Choi",1999-03-20
EMP01251,"Matthew Hunt",1999-01-08
EMP01255,"Julia Dunn MD",1997-03-07
EMP01264,"Nicholas Humphrey",1997-06-25
EMP01269,"Bernard Smith",1999-07-11
EMP01272,"Kimberly Lutz",1997-01-18
EMP01291,"Mr. Larry Shaw",1999-11-15
EMP01296,"Mr. Daniel Martin",1995-07-13
EMP01299,"Kenneth Brown",1997-04-15
EMP01301,"Kristy Smith",1998-11-21
EMP01303,"Jerry Haney",1998-05-23
EMP01307,"Grace Chavez",1996-11-22
EMP01310,"Jennifer Hernandez",1997-09-04
EMP01315,"Marie Boyd",1999-08-18
EMP01320,"John Hall",1994-12-26
EMP01321,"Diane Mcdowell",1997-12-25
EMP01325,"Jack Moore",1998-03-22
EMP01327,"Jacob Hill",1998-11-07
EMP01337,"Charles Frost",1997-11-25
EMP01347,"Penny Gomez MD",1998-01-08
EMP01348,"Kelly Mclaughlin",1996-04-13
EMP01366,"Debra Valentine",1998-12-28
EMP01368,"Nicolas Salas",1994-12-22
EMP01372,"Pamela Weaver",1999-12-10
EMP01374,"William Prince PhD",1998-12-13
EMP01375,"William Moon IV",1999-07-04
EMP01380,"Michael Smith",1996-06-12
EMP01409,"Jennifer White",1997-08-10
EMP01415,"Christopher Pena",1997-09-19
EMP01417,"Mark Anderson",1997-05-09
EMP01418,"Alyssa Alvarado",1997-04-05
EMP01421,"Wayne Wolfe",1997-11-01
EMP01424,"Emily Reed",1996-08-08
EMP01425,"Regina Ramos",1997-07-12
EMP01432,"Justin Foster",1995-01-05
EMP01437,"Rhonda Gutierrez",1999-04-17
EMP01445,"Mrs. Raven Rivera DVM",1998-11-22
EMP01447,"John Lee",1995-02-14
EMP01452,"Vickie Kennedy",1994-11-24
EMP01467,"Corey Norris",1996-02-03
EMP01476,"Patty Allen",1997-03-16
EMP01479,"Lisa Morris",1999-03-09
EMP01482,"Christina Washington",1996-05-19
EMP01488,"Justin Hurley",1998-07-03
EMP01497,"Sonya Jackson",1998-08-29
EMP01504,"Dawn Nixon",1994-09-22
EMP01514,"Morgan Cummings",1995-11-09
EMP01519,"Hannah Montoya",1996-08-09
EMP01521,"Matthew Guzman",1994-11-07
EMP01527,"Dylan Foster",1998-04-18
EMP01528,"Bradley Duncan",1994-10-29
EMP01534,"Erica Glass",1994-12-14
EMP01535,"Michael Henderson",1998-02-05
EMP01539,"Andrew Meyers",1997-07-14
EMP01542,"Tammy Melton",1999-11-18
EMP01544,"Jerry Johnson",1998-11-12
EMP01546,"Deanna Webb",1994-11-19
EMP01547,"Brenda Hale",1999-12-12
EMP01562,"Lori Johns",1998-05-07
EMP01568,"Wesley Browning",1999-05-30
EMP01572,"Brandy Forbes",1994-11-06
EMP01577,"Jennifer Jenkins",1998-06-01
EMP01580,"Cody Farmer",1996-01-08
EMP01581,"Debra Bradley",1999-03-14
EMP01586,"Corey Johnson",1995-09-22
EMP01593,"Logan Newton",1998-09-10
EMP01601,"Louis Brown",1998-12-26
EMP01613,"Susan Cunningham",1999-02-14
EMP01614,"Brittany Melton",1998-05-20
EMP01615,"Michael Barnes",1998-04-27
EMP01617,"Autumn Anderson",1995-05-15
EMP01618,"Marcus King",1998-12-10
EMP01619,"Scott Stephens",1999-12-11
EMP01622,"Kyle Sanchez",1995-02-11
