EmployeeID,Name,Department,JobTitle,Years_At_Company,PerformanceScore
EMP00028,"Stephanie Ross",Engineering,Accountant,18.9205,99
EMP00538,"Bianca Wood","Customer Support","Customer Service Manager",10.7863,99
EMP01591,"David Sullivan",HR,"Security Analyst",7.3945,99
EMP00854,"Donald Miller",Engineering,"HR Manager",13.8274,99
EMP00066,"Amber Kidd",Finance,"Security Analyst",14.8685,99
EMP00084,"Paul Jones","Customer Support",Accountant,20.2411,99
EMP01622,"Kyle Sanchez",Sales,"IT Support",29.5808,99
EMP01805,"April Finley",IT,"Finance Manager",17.5836,99
EMP02218,"Jessica Garrett",Finance,"Support Agent",25.3014,99
EMP00143,"Patricia Rodriguez",Marketing,"Marketing Manager",14.6904,99
EMP00153,"Denise Jones",HR,"Marketing Manager",6.4000,99
EMP00190,"Jessica Gross",Finance,"HR Coordinator",1.4959,99
EMP00192,"Karen Graham",Finance,"IT Support",9.3781,99
EMP00651,"Andrew Harper",Sales,"Sales Manager",24.2356,99
EMP02493,"Richard Medina",IT,Recruiter,27.7233,99
EMP02388,"Melissa Patel MD",HR,Accountant,19.3342,99
EMP02055,"Kenneth Stokes",Finance,"Financial Analyst",8.6795,99
EMP02034,"Tiffany Johnson",Engineering,"HR Manager",18.5233,99
EMP01190,"Michael Gonzalez","Customer Support","Support Agent",25.6603,99
EMP01323,"Laura Wilson",Finance,"System Administrator",22.4795,99
EMP01102,"Darryl Acosta",IT,"Sales Manager",3.5644,99
EMP01522,"Richard Reyes",IT,"Account Manager",9.0877,99
EMP00898,"Elizabeth Dean",Engineering,"Software Engineer",9.8822,99
EMP01580,"Cody Farmer",Finance,Accountant,28.6740,99
EMP02303,"Mr. Jeremiah Galvan MD","Customer Support","Network Engineer",14.5781,98
EMP00873,"Michael Blair",Marketing,"Finance Manager",8.1178,98
EMP02272,"Margaret Orr",IT,"Content Creator",4.5726,98
EMP01837,"Ryan Salazar",Engineering,"Software Engineer",12.5616,98
EMP00114,"Crystal Johnson",Marketing,"Marketing Specialist",6.2575,98
EMP00591,"Laurie Sanchez",IT,"Sales Representative",5.8164,98
EMP01759,"Robert Green",Sales,Recruiter,7.9041,98
EMP00233,"Christopher Parker","Customer Support","Network Engineer",28.2603,98
EMP02404,"Patricia Harvey",Engineering,"Content Creator",6.1205,98
EMP00298,"William Barrett",Marketing,"Software Engineer",2.2932,98
EMP00306,"Kevin Oconnor",Marketing,"Content Creator",16.0493,98
EMP02334,"Allison Kim",HR,"Content Creator",2.2438,98
EMP01750,"Donna Johnson",Marketing,Recruiter,2.4658,98
EMP01309,"Dale Heath","Customer Support",Accountant,8.2493,98
EMP02008,"Mrs. Ashley Taylor",HR,"Financial Analyst",17.1781,98
EMP01183,"Gregory Chambers","Customer Support","Marketing Manager",29.8630,98
EMP01168,"Michelle Rodriguez","Customer Support","Marketing Specialist",5.7425,98
EMP00378,"Paula Bradley",Sales,"HR Manager",5.3507,98
EMP01126,"Peter Williams",Marketing,"Marketing Manager",10.5479,98
EMP00396,"Dana Chapman","Customer Support","Security Analyst",20.2247,98
EMP00411,"Angela Lin","Customer Support","Account Manager",6.6411,98
EMP01258,"Manuel Mccullough",Marketing,"Sales Representative",21.1699,98
EMP01930,"Vanessa Rivera",Sales,"Civil Engineer",3.4712,98
EMP01488,"Justin Hurley",Marketing,"Marketing Manager",26.1890,98
EMP00951,"Rebecca Kelly",IT,"Marketing Specialist",7.3918,98
EMP00500,"Phillip Berry","Customer Support","Financial Analyst",19.6329,98
EMP02291,"Jody Bird",Engineering,Recruiter,28.9507,97
EMP02273,"Mark Reeves",Engineering,"Account Manager",12.0877,97
EMP02271,"Mrs. Amy Malone",Engineering,"IT Support",25.2740,97
EMP00834,"Tyler Harris",IT,"Civil Engineer",21.7589,97
EMP02252,"Michelle House",Sales,"Civil Engineer",0.4082,97
EMP02236,"Lance Kirby","Customer Support","Marketing Manager",25.1726,97
EMP01746,"Rebecca Edwards",Engineering,Recruiter,25.6082,97
EMP00109,"Evelyn Galvan",IT,"Network Engineer",23.8000,97
EMP01635,"Kelly Dominguez",Engineering,"Sales Manager",13.6959,97
EMP00785,"Margaret Harper",Engineering,"Financial Analyst",14.9178,97
EMP00778,"Cody Davidson",HR,"Sales Representative",17.7808,97
EMP00724,"Todd Reynolds",Sales,"Support Agent",15.4219,97
EMP00707,"Adam Jackson","Customer Support","Support Agent",3.1753,97
EMP00228,"Michael Warner",HR,"Finance Manager",26.5452,97
EMP01730,"Zachary Santiago",Sales,"Customer Service Manager",26.6137,97
EMP02422,"Nicole Collins",Sales,"Data Scientist",0.4630,97
EMP02380,"Tanner Mann",Engineering,"Data Scientist",10.6329,97
EMP00296,"John Young",HR,"Data Scientist",27.7973,97
EMP02358,"Amber Stevenson","Customer Support","Marketing Manager",1.2192,97
EMP02335,"Scott Stewart",Marketing,"System Administrator",6.4685,97
EMP00376,"Paul Lewis",HR,"Marketing Manager",28.7534,97
EMP00382,"Paul Wilson","Customer Support","Content Creator",0.1726,97
EMP01120,"Brittany Davis",Sales,"Financial Analyst",7.2740,97
EMP01418,"Alyssa Alvarado","Customer Support","HR Coordinator",27.4329,97
EMP01459,"Richard Smith",HR,"HR Manager",21.7288,97
EMP00978,"Margaret Tanner",HR,Recruiter,24.8466,97
EMP00490,"Lance Simmons",IT,"Financial Analyst",19.8219,97
EMP01742,"Nicholas Terrell",Marketing,"Financial Analyst",6.7918,97
EMP01581,"Debra Bradley",HR,"Sales Representative",25.4932,96
EMP00008,"Gina Moore",IT,"Data Scientist",9.5014,96
EMP00525,"Krista Martinez",Engineering,Recruiter,16.6082,96
EMP02287,"Raymond Barber",IT,"IT Support",24.7370,96
EMP00542,"Sean Moore",Marketing,"Content Creator",15.1890,96
EMP02269,"Adam Drake","Customer Support","IT Support",14.0493,96
EMP00583,"Gregory Peck",Engineering,"Support Agent",7.4849,96
EMP00587,"Dwayne Klein",Sales,"Network Engineer",26.0712,96
EMP01634,"Michael Hill",Marketing,"Customer Service Manager",15.2575,96
EMP00127,"Michelle Evans",IT,"Marketing Specialist",5.4493,96
EMP00599,"Kimberly Sharp",IT,"Software Engineer",0.2192,96
EMP01766,"Audrey Jackson",Sales,"Mechanical Engineer",25.6027,96
EMP00214,"Katherine Salas",IT,"Security Analyst",7.0603,96
EMP01736,"Joanna Kelly",IT,"Sales Manager",18.6630,96
EMP00246,"Donna Landry",Sales,"Finance Manager",29.4986,96
EMP01739,"Joshua Richardson",Engineering,"Sales Representative",26.7452,96
EMP02390,"Terri Williams","Customer Support",Accountant,19.5370,96
EMP02386,"Crystal Mills",Engineering,"Support Agent",28.4904,96
EMP01189,"Kelly Johnson",IT,"IT Support",28.7123,96
EMP01314,"Samantha Prince","Customer Support","Security Analyst",20.7425,96
EMP00385,"Aimee Turner","Customer Support","Finance Manager",20.5753,96
EMP01370,"Brittney Rodriguez",Marketing,Recruiter,12.5589,96
