EmployeeID,Name,Department,MonthlySalary,PerformanceScore
EMP01190,"Michael Gonzalez","Customer Support",6159,99
EMP00233,"Christopher Parker","Customer Support",4985,98
EMP01309,"Dale Heath","Customer Support",4997,98
EMP01183,"Gregory Chambers","Customer Support",7763,98
EMP02358,"Amber Stevenson","Customer Support",5076,97
EMP00707,"Adam Jackson","Customer Support",6398,97
EMP00382,"Paul Wilson","Customer Support",6389,97
EMP02269,"Adam Drake","Customer Support",7619,96
EMP02390,"Terri Williams","Customer Support",7601,96
EMP00385,"Aimee Turner","Customer Support",5263,96
EMP01831,"Erika Daugherty","Customer Support",6117,95
EMP01230,"Michele Cherry","Customer Support",7314,94
EMP01520,"Sean Kane","Customer Support",5243,93
EMP02199,"Billy Williams","Customer Support",4790,93
EMP00560,"Louis Martin","Customer Support",4449,93
EMP02293,"Lori Ferguson","Customer Support",4392,92
EMP01857,"Steven Griffith","Customer Support",6185,92
EMP02203,"Matthew White","Customer Support",6906,91
EMP02416,"Corey Garcia","Customer Support",5349,91
EMP02043,"Wesley Jensen MD","Customer Support",4752,91
EMP02028,"Barry Gregory","Customer Support",4667,91
EMP02327,"Luke Ray","Customer Support",3250,90
EMP01907,"Donna Frye","Customer Support",5311,90
EMP01705,"Valerie Reyes","Customer Support",4548,90
EMP00029,"Zachary Hicks","Customer Support",6854,90
EMP00813,"Douglas Ryan","Customer Support",6672,89
EMP01474,"Aaron Little","Customer Support",7076,89
EMP01286,"Sandy Baker","Customer Support",7402,89
EMP00889,"Chris Velazquez","Customer Support",7272,88
EMP01623,"Lisa Grant","Customer Support",5042,87
EMP01164,"Amber Martin","Customer Support",3545,87
EMP01649,"Aaron Jennings","Customer Support",8495,86
EMP00211,"Christopher Smith","Customer Support",6159,86
EMP00148,"Stephanie Salazar","Customer Support",7658,86
EMP01414,"Phillip Miller","Customer Support",4467,86
EMP00806,"Ronald Potter","Customer Support",7593,86
EMP00837,"Danielle Watson","Customer Support",6720,86
EMP00965,"Eric Taylor","Customer Support",7994,85
EMP02368,"Jennifer Woodard","Customer Support",3355,84
EMP01569,"Joshua Clark","Customer Support",4502,84
EMP00762,"Amanda Terrell","Customer Support",6225,83
EMP01150,"Amber Walker","Customer Support",3942,82
EMP02447,"Mary Pugh","Customer Support",3940,82
EMP01506,"Ms. Kelly Holder","Customer Support",5810,82
EMP01665,"Jesse Sampson","Customer Support",7354,82
EMP01762,"Timothy Moore","Customer Support",8408,82
EMP01904,"Rebecca Dougherty","Customer Support",4982,81
EMP00042,"Fred Smith","Customer Support",3588,81
EMP02068,"Catherine Smith","Customer Support",4582,81
EMP00245,"Shannon Rivera","Customer Support",5881,81
EMP01194,"Ashley Parrish","Customer Support",8307,81
EMP02034,"Tiffany Johnson",Engineering,6072,99
EMP00898,"Elizabeth Dean",Engineering,8427,99
EMP01837,"Ryan Salazar",Engineering,5658,98
EMP00785,"Margaret Harper",Engineering,5630,97
EMP02291,"Jody Bird",Engineering,3752,97
EMP02380,"Tanner Mann",Engineering,3754,97
EMP00525,"Krista Martinez",Engineering,6998,96
EMP01739,"Joshua Richardson",Engineering,5785,96
EMP00986,"Elizabeth Flores",Engineering,8190,95
EMP00322,"Charles Shah",Engineering,8033,95
EMP02378,"Elizabeth Robbins",Engineering,8791,95
EMP00080,"Lisa Barnes",Engineering,6440,94
EMP01403,"Robert Rogers",Engineering,3579,92
EMP01455,"Dawn Little",Engineering,8011,92
EMP01850,"Cory Hogan",Engineering,6007,91
EMP00795,"Jerry Brown",Engineering,8801,91
EMP00600,"Susan Thompson",Engineering,7567,90
EMP00023,"Ethan Adams",Engineering,6124,90
EMP01066,"Melanie Griffith",Engineering,8127,90
EMP01807,"Heather Maldonado",Engineering,6636,89
EMP02485,"Jose Hartman",Engineering,4781,89
EMP00260,"Mrs. Kristen Reyes",Engineering,9115,88
EMP02268,"Heidi Johnson",Engineering,6935,87
EMP00173,"Joshua Cooke",Engineering,4191,86
EMP01407,"Denise Wallace",Engineering,7150,83
EMP01062,"Shannon Green",Engineering,3739,83
EMP00138,"Courtney Gonzalez",Engineering,6510,82
EMP00285,"Stephanie Williams",Engineering,5068,82
EMP00362,"Laurie Hoffman",Engineering,7588,82
EMP00549,"Jessica Khan",Engineering,9054,81
EMP00190,"Jessica Gross",Finance,9040,99
EMP01323,"Laura Wilson",Finance,5911,99
EMP02055,"Kenneth Stokes",Finance,8795,99
EMP01580,"Cody Farmer",Finance,5594,99
EMP01205,"Michael Lopez",Finance,3654,95
